# MRF sequence pattern
# created: 2017-07-28T14:05:39.749000
# type: jiang
# length: 500
# inv_delay (ms): 15.0
# min FA (ms): 0.0
# max FA (ms): 60.0
# min TR (ms): 15.0
# max TR (ms): 15.0
# min TE (ms): 6.0
# max TE (ms): 6.0
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
4.58360559603,15.0,0.0,6.0
4.54902142644,15.0,0.0,6.0
4.48900317656,15.0,0.0,6.0
4.40298411234,15.0,0.0,6.0
4.29088504293,15.0,0.0,6.0
4.15312325478,15.0,0.0,6.0
3.99061316894,15.0,0.0,6.0
3.80475811692,15.0,0.0,6.0
3.59743292299,15.0,0.0,6.0
3.3709573229,15.0,0.0,6.0
3.12806061584,15.0,0.0,6.0
2.87183831073,15.0,0.0,6.0
2.60570186134,15.0,0.0,6.0
2.33332286253,15.0,0.0,6.0
2.05857328093,15.0,0.0,6.0
1.7854634055,15.0,0.0,6.0
1.51807922055,15.0,0.0,6.0
1.26052083002,15.0,0.0,6.0
1.01684340693,15.0,0.0,6.0
0.791001923687,15.0,0.0,6.0
0.586800656866,15.0,0.0,6.0
0.40784817786,15.0,0.0,6.0
0.25751825923,15.0,0.0,6.0
0.138916865934,15.0,0.0,6.0
0.0548551756356,15.0,0.0,6.0
0.00782839358519,15.0,0.0,6.0
0.0,15.0,0.0,6.0
0.0331909911602,15.0,0.0,6.0
0.108873644924,15.0,0.0,6.0
0.228169348887,15.0,0.0,6.0
0.39185006463,15.0,0.0,6.0
0.600343053244,15.0,0.0,6.0
0.853738544653,15.0,0.0,6.0
1.1518000868,15.0,0.0,6.0
1.4939773531,15.0,0.0,6.0
1.87942121301,15.0,0.0,6.0
2.30700087966,15.0,0.0,6.0
2.77532294053,15.0,0.0,6.0
3.28275205671,15.0,0.0,6.0
3.82743308728,15.0,0.0,6.0
4.40731436598,15.0,0.0,6.0
5.02017183319,15.0,0.0,6.0
5.66363371489,15.0,0.0,6.0
6.33520544649,15.0,0.0,6.0
7.03229456702,15.0,0.0,6.0
7.75223535848,15.0,0.0,6.0
8.49231307495,15.0,0.0,6.0
9.24978769073,15.0,0.0,6.0
10.0219171898,15.0,0.0,6.0
10.8059805105,15.0,0.0,6.0
11.5993003375,15.0,0.0,6.0
12.3992659919,15.0,0.0,6.0
13.203356692,15.0,0.0,6.0
14.0091654401,15.0,0.0,6.0
14.8144237306,15.0,0.0,6.0
15.6170271587,15.0,0.0,6.0
16.4150618587,15.0,0.0,6.0
17.2068315029,15.0,0.0,6.0
17.9908843733,15.0,0.0,6.0
18.7660397851,15.0,0.0,6.0
19.5314129158,15.0,0.0,6.0
20.2864368935,15.0,0.0,6.0
21.0308808461,15.0,0.0,6.0
21.7648625328,15.0,0.0,6.0
22.4888541746,15.0,0.0,6.0
23.2036802051,15.0,0.0,6.0
